file,line,symbol,rhs,triage_class_guess,review_priority
lib/gate/slack_gateway_state.ml,256,assoc,None,option_absent,low
lib/gate/slack_rest_client.ml,55,field_opt,None,parser_absent,low
lib/gate/slack_rest_client.ml,190,parse_auth_test_response,None,parser_absent,low
lib/gate/slack_socket_client.ml,118,fetch_wss_url,false,predicate_unclassified,medium
lib/goal/goal_phase.ml,21,of_string,None,option_absent,low
lib/goal/goal_phase.ml,92,action_of_string,None,parser_absent,low
lib/http_response_payload.ml,11,is_ascii_space,false,rejecter_safe,low
lib/http_server_eio.ml,62,default_config,None,option_absent,low
lib/http_server_eio.ml,270,safe_respond_with_string,None,option_absent,low
lib/http_server_eio.ml,533,safe_respond_with_string,None,option_absent,low
lib/ide/ide_annotation_types.ml,39,annotation_kind_of_string,None,parser_absent,low
lib/ide/ide_annotation_types.ml,172,annotation_of_json,None,parser_absent,low
lib/ide/ide_annotations.ml,81,string_field,None,option_absent,low
lib/ide/ide_bridge.ml,20,event_kind_of_string,None,parser_absent,low
lib/ide/ide_bridge.ml,209,string_field,None,option_absent,low
lib/ide/ide_bridge.ml,218,int64_field,None,option_absent,low
lib/ide/ide_bridge.ml,228,int_field,None,option_absent,low
lib/ide/ide_bridge.ml,266,cursor_focus_mode_of_string,None,parser_absent,low
lib/ide/ide_bridge.ml,283,cursor_is_valid,false,rejecter_safe,low
lib/ide/ide_bridge.ml,605,ingest_cursor_event_from_hook,None,option_absent,low
lib/ide/ide_bridge.ml,630,ingest_cursor_event_from_hook,(),noop_side_effect,low
lib/json_field/json_field.ml,19,lookup,None,option_absent,low
lib/keeper/keeper_accountability_types_codec.ml,149,json_int_opt,None,parser_absent,low
lib/keeper/keeper_accountability_types_codec.ml,240,claim_event_of_json,None,parser_absent,low
lib/keeper/keeper_accountability_types_codec.ml,271,resolution_event_of_json,None,parser_absent,low
lib/keeper/keeper_agent_run_finalize_response.ml,225,messages_share_values_by_identity,false,predicate_unclassified,medium
